NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
CHRISTIAN BLAKE,WR,ATL,65.0,DAL,0.9396551724137794,away,3000,0.0
DEZMON PATMON,WR,IND,67.0,JAX,1.4913793103448114,home,3000,0.0
ALEX ERICKSON,WR,CAR,66.0,ARI,-3.198275862068968,away,3000,0.0
JEFF SMITH,WR,NYJ,69.0,BUF,-4.853448275862078,home,3000,0.0
JOSH GORDON,WR,KC,65.0,LV,-0.4396551724138078,away,3000,0.0
MATTHEW SLATER,WR,NE,65.0,CLE,-1.5431034482758719,home,3000,0.0
STEVEN SIMS,WR,PIT,65.0,DET,2.8706896551723986,home,3000,0.0
JJ KOSKI,WR,LAR,65.0,SF,-0.16379310344828468,away,3000,0.0
GERONIMO ALLISON,WR,DET,65.0,PIT,-0.9913793103448398,away,3000,0.0
JJ ARCEGAWHITESIDE,WR,PHI,65.0,DEN,-2.370689655172427,away,3000,0.0
DIONTAE SPENCER,WR,DEN,65.0,PHI,0.6637931034482705,home,3000,0.0
JOJO NATSON,WR,CLE,65.0,NE,-1.5431034482758719,away,3000,0.0
TAVON AUSTIN,WR,JAX,65.0,IND,0.38793103448274735,away,3000,0.0
ANTOINE WESLEY,WR,ARI,65.0,CAR,-2.922413793103459,home,3000,0.0
AMARI RODGERS,WR,GB,66.0,SEA,1.2155172413793025,home,3000,0.0
DEDE WESTBROOK,WR,MIN,65.0,LAC,0.38793103448274735,away,3000,0.0
CODY WHITE,WR,PIT,66.0,DET,2.8706896551723986,home,3000,0.0
KEVIN WHITE,WR,NO,65.0,TEN,0.11206896551723844,away,3000,0.0
TYLAN WALLACE,WR,BAL,65.0,MIA,1.7672413793103345,away,3000,0.0
GREG DORTCH,WR,ARI,65.0,CAR,-2.922413793103459,home,3000,0.0
TRENT SHERFIELD,WR,SF,67.0,LAR,-0.7155172413793167,home,3000,0.0
PRESTON WILLIAMS,WR,MIA,70.0,BAL,0.9396551724137794,home,3000,0.0
ANDRE ROBERTS,WR,LAC,65.0,MIN,1.2155172413793025,home,3000,0.0
ERIC EBRON,TE,PIT,65.0,DET,2.8706896551723986,home,2900,3.3
AUSTIN HOOPER,TE,CLE,75.0,NE,-1.5431034482758719,away,2800,12.5
HAYDEN HURST,TE,ATL,75.0,DAL,0.9396551724137794,away,2800,0.0
CAMERON BRATE,TE,TB,65.0,WAS,2.0431034482758577,away,2700,7.6
FOSTER MOREAU,TE,LV,65.0,KC,1.2155172413793025,home,2700,0.0
OJ HOWARD,TE,TB,73.0,WAS,2.0431034482758577,away,2700,0.0
ANTHONY FIRKSER,TE,TEN,65.0,NO,-1.2672413793103487,home,2600,1.2
GERALD EVERETT,TE,SEA,76.0,GB,-1.5431034482758719,away,2600,14.3
DONALD PARHAM,TE,LAC,75.0,MIN,1.2155172413793025,home,2600,2.7
TOMMY SWEENEY,TE,BUF,70.0,NYJ,3.1465517241379217,away,2600,0.0
STEPHEN ANDERSON,TE,LAC,65.0,MIN,1.2155172413793025,home,2500,0.0
JOHN BATES,TE,WAS,65.0,TB,-0.4396551724138078,home,2500,5.5
MATT LACOSSE,TE,NE,65.0,CLE,-1.5431034482758719,home,2500,0.0
DEVIN ASIASI,TE,NE,65.0,CLE,-1.5431034482758719,home,2500,0.0
ERIC SAUBERT,TE,DEN,67.0,PHI,0.6637931034482705,home,2500,0.0
ZACH GENTRY,TE,PIT,68.0,DET,2.8706896551723986,home,2500,0.0
DARRELL DANIELS,TE,ARI,65.0,CAR,-2.922413793103459,home,2500,0.0
CHARLIE WOERNER,TE,SF,67.0,LAR,-0.7155172413793167,home,2500,0.0
LUKE STOCKER,TE,MIN,65.0,LAC,0.38793103448274735,away,2500,0.0
COLBY PARKINSON,TE,SEA,65.0,GB,-1.5431034482758719,away,2500,0.0
ERIC TOMLINSON,TE,BAL,65.0,MIA,1.7672413793103345,away,2500,0.0
LUKE FARRELL,TE,JAX,67.0,IND,0.38793103448274735,away,2500,0.0
TREVON WESCO,TE,NYJ,66.0,BUF,-4.853448275862078,home,2500,0.0
ROSS DWELLEY,TE,SF,69.0,LAR,-0.7155172413793167,home,2500,0.0
JUWAN JOHNSON,TE,NO,74.0,TEN,0.11206896551723844,away,2500,5.6
ADAM SHAHEEN,TE,MIA,65.0,BAL,0.9396551724137794,home,2500,6.4
GEOFF SWAIM,TE,TEN,65.0,NO,-1.2672413793103487,home,2500,6.6
NOAH GRAY,TE,KC,65.0,LV,-0.4396551724138078,away,2500,7.1
MYCOLE PRUITT,TE,TEN,65.0,NO,-1.2672413793103487,home,2500,7.2
DEMETRIUS HARRIS,TE,ARI,65.0,CAR,-2.922413793103459,home,2500,0.0
RYAN GRIFFIN,TE,NYJ,65.0,BUF,-4.853448275862078,home,2500,3.1
IAN THOMAS,TE,CAR,71.0,ARI,-3.198275862068968,away,2500,0.0
BROCK WRIGHT,TE,DET,65.0,PIT,-0.9913793103448398,away,2500,1.2
JOSIAH DEGUARA,TE,GB,67.0,SEA,1.2155172413793025,home,2500,2.9
JACK STOLL,TE,PHI,65.0,DEN,-2.370689655172427,away,2500,2.6
KYLEN GRANSON,TE,IND,67.0,JAX,1.4913793103448114,home,2500,2.5
DURHAM SMYTHE,TE,MIA,72.0,BAL,0.9396551724137794,home,2500,3.3
CHRIS HERNDON,TE,MIN,65.0,LAC,0.38793103448274735,away,2500,2.4
SEAN MCKEON,TE,DAL,65.0,ATL,1.4913793103448114,home,2500,3.5
TYLER DAVIS,TE,GB,65.0,SEA,1.2155172413793025,home,2500,1.4
TOMMY TREMBLE,TE,CAR,72.0,ARI,-3.198275862068968,away,2500,1.3
HARRISON BRYANT,TE,CLE,70.0,NE,-1.5431034482758719,away,2500,3.8
MARCEDES LEWIS,TE,GB,65.0,SEA,1.2155172413793025,home,2500,3.0
KENDALL BLANTON,TE,LAR,65.0,SF,-0.16379310344828468,away,2500,1.2
BLAKE BELL,TE,KC,67.0,LV,-0.4396551724138078,away,2500,0.3
JEREMY SPRINKLE,TE,DAL,65.0,ATL,1.4913793103448114,home,2500,0.0
TRE' MCKITTY,TE,LAC,65.0,MIN,1.2155172413793025,home,2500,0.0
GARRETT GRIFFIN,TE,NO,65.0,TEN,0.11206896551723844,away,2500,0.0
CHRIS MANHERTZ,TE,JAX,68.0,IND,0.38793103448274735,away,2500,0.0
DARREN FELLS,TE,TB,65.0,WAS,2.0431034482758577,away,2500,0.0
ANDREW BECK,TE,DEN,65.0,PHI,0.6637931034482705,home,2500,0.0
JOSH OLIVER,TE,BAL,68.0,MIA,1.7672413793103345,away,2500,0.0
WILL DISSLY,TE,SEA,72.0,GB,-1.5431034482758719,away,2500,4.2
JAMES WINCHESTER,TE,KC,65.0,LV,-0.4396551724138078,away,2500,0.0
CETHAN CARTER,TE,MIA,65.0,BAL,0.9396551724137794,home,2500,0.0
