Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
27,S,11,0,2,55,0,2,42,27.5,5,1
26,TE,14,14,2,-8,0,0,-2,-4,-0.6,1
29,WR,11,3,2,-7,0,0,0,-3.5,-0.6,2
28,QB,3,1,2,7,0,0,6,3.5,2.3,0
27,WR,17,7,2,37,0,2,29,18.5,2.2,1
21,WR,6,3,2,-1,0,0,4,-0.5,-0.2,0
23,WR,16,1,2,7,0,0,4,3.5,0.4,6
25,TE,11,3,2,26,0,1,24,13,2.4,0
23,RB,2,0,2,19,0,2,14,9.5,9.5,0
27,TE,16,15,2,1,1,1,1,0.5,0.1,0
23,WR,5,1,2,26,0,1,17,13,5.2,1
30,RB,1,1,2,2,0,0,2,1,2,0
25,WR,17,13,2,7,0,1,13,3.5,0.4,1
30,WR,10,10,1,8,0,1,8,8,0.8,1
26,LB,15,0,1,4,0,1,4,4,0.3,0
34,P,17,0,1,0,0,0,-13,0,0,1
22,RB,1,0,1,0,0,0,0,0,0,0
22,TE,12,11,1,2,1,1,2,2,0.2,1
33,LB,16,0,1,3,0,0,3,3,0.2,0
23,WR,15,0,1,15,0,1,15,15,1,0
25,WR,12,10,1,1,0,0,1,1,0.1,1
24,TE,17,9,1,8,0,1,8,8,0.5,0
26,FB,8,2,1,4,0,1,4,4,0.5,0
26,S,17,0,1,2,0,1,2,2,0.1,0
36,QB,4,0,1,4,0,0,4,4,1,0
23,WR,14,0,1,2,0,0,2,2,0.1,0
26,S,14,0,1,2,0,1,2,2,0.1,0
29,WR,16,16,1,-3,0,0,-3,-3,-0.2,1
22,WR,13,7,1,11,0,1,11,11,0.8,2
28,TE,16,11,1,0,0,0,0,0,0,0
30,S,17,0,1,-3,0,0,-3,-3,-0.2,0
29,S,13,0,1,0,0,0,0,0,0,0
24,RB,8,2,1,-4,0,0,-4,-4,-0.5,1
25,TE,11,1,1,0,0,0,0,0,0,0
24,TE,13,4,1,0,0,0,0,0,0,1
23,WR,13,0,1,9,0,0,9,9,0.7,0
23,TE,17,8,1,1,1,1,1,1,0.1,0
23,TE,17,2,1,2,1,1,2,2,0.1,1
24,RB,2,0,1,7,0,1,7,7,3.5,0
28,RB,2,0,1,1,0,0,1,1,0.5,0
26,OL,17,17,1,0,0,0,0,0,0,1
27,WR,9,2,1,11,0,1,11,11,1.2,0
26,WR,5,0,1,1,0,0,1,1,0.2,0
28,S,17,0,1,0,0,0,0,0,0,0
24,QB,4,0,1,-1,0,0,-1,-1,-0.3,0
23,WR,5,0,1,4,0,0,4,4,0.8,0
25,WR,15,1,1,8,0,0,8,8,0.5,0
25,WR,12,12,1,2,0,0,2,2,0.2,0
24,WR,16,11,1,4,0,1,4,4,0.3,1
28,WR,17,2,1,0,0,0,0,0,0,0
23,WR,17,14,1,2,0,0,2,2,0.1,1
25,WR,14,11,1,17,1,1,17,17,1.2,0
27,TE,14,8,1,5,0,1,5,5,0.4,1
30,FB,17,6,1,2,0,1,2,2,0.1,0
23,WR,8,0,1,-1,0,0,0,-1,-0.1,1
27,DB,17,0,1,3,0,1,3,3,0.2,0
27,WR,15,15,1,5,0,0,5,5,0.3,0
32,WR,17,17,1,4,0,0,4,4,0.2,0
28,WR,17,11,1,-3,0,0,-3,-3,-0.2,0
21,WR,6,0,1,40,0,1,40,40,6.7,0
27,WR,15,0,1,8,0,0,8,8,0.5,0
22,WR,10,0,1,-5,0,0,-5,-5,-0.5,0
