G,W,L,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,19,14,0.576,8.25,5.43,2528,2435,1330,878,1909,0.46,315,866,0.364,457,613,0.746,275,1129,444,199,90,399,528
32,16,16,0.5,6.78,7.94,2213,2250,1300,786,1823,0.431,209,668,0.313,432,577,0.749,286,1083,368,220,165,448,529
34,17,17,0.5,10.51,7.9,2324,2235,1365,813,1919,0.424,310,832,0.373,388,542,0.716,369,1183,403,166,93,408,544
33,18,15,0.545,-2.94,-1.33,2219,2229,1345,779,1727,0.451,218,647,0.337,443,578,0.766,218,1032,351,200,47,422,580
34,19,15,0.559,15.94,10.88,2583,2411,1365,882,1953,0.452,248,708,0.35,571,769,0.743,383,1152,442,227,104,440,632
34,18,16,0.529,-6.34,-4.08,2513,2405,1385,871,2015,0.432,289,849,0.34,482,674,0.715,335,1256,428,183,88,365,588
30,16,14,0.533,-7.58,-4.73,2191,2171,1205,795,1755,0.453,209,652,0.321,392,560,0.7,284,1034,410,174,107,322,434
33,17,16,0.515,-0.88,1.03,2355,2330,1330,839,1907,0.44,249,695,0.358,428,601,0.712,300,1152,416,204,173,383,489
31,8,23,0.258,-10.5,-2.28,2166,2295,1240,786,1820,0.432,250,757,0.33,344,482,0.714,379,1146,396,143,68,395,522
32,17,15,0.531,5.78,3.25,2272,2191,1300,827,1839,0.45,212,685,0.309,406,567,0.716,312,1163,426,203,129,401,478
33,13,20,0.394,-10.98,-4.18,2219,2320,1325,791,1829,0.432,256,698,0.367,381,559,0.682,330,1095,401,199,67,398,533
32,15,17,0.469,-6.63,-3.6,2360,2382,1285,787,1671,0.471,283,757,0.374,503,681,0.739,260,993,366,164,98,447,538
35,20,15,0.571,10.99,9.3,2284,2225,1430,831,2005,0.414,276,807,0.342,346,501,0.691,278,1110,406,207,52,302,554
33,17,16,0.515,-5.02,-3.32,2466,2392,1340,906,1916,0.473,247,748,0.33,407,552,0.737,312,1088,412,188,68,361,468
33,18,15,0.545,-2.33,-5.87,2637,2432,1350,1031,2077,0.496,205,574,0.357,370,502,0.737,304,1212,495,207,99,419,514
31,9,22,0.29,2.01,6.11,2144,2234,1245,740,1680,0.44,268,768,0.349,396,557,0.711,246,994,345,151,79,371,488
37,27,10,0.73,16.03,9.16,2995,2741,1485,1109,2256,0.492,274,703,0.39,503,708,0.71,380,1396,705,236,120,459,593
30,21,9,0.7,7.81,-1.62,2273,1897,1210,841,1764,0.477,224,620,0.361,367,529,0.694,298,1133,439,191,123,335,521
34,24,10,0.706,1.69,-5.81,2785,2465,1385,1017,2088,0.487,271,743,0.365,480,616,0.779,351,1204,521,238,94,376,550
